,Genus,Obs_Per,Sample,Kit,Type
161,Anaerostipes,0.018828762,SC304093.PC07578.A04,Zymo MagBead DNone Kit,Art.Col
162,Bacteroides,0.090476896,SC304093.PC07578.A04,Zymo MagBead DNone Kit,Art.Col
163,Bifidobacterium,0.018047937,SC304093.PC07578.A04,Zymo MagBead DNone Kit,Art.Col
164,Collinsella,0.000207561,SC304093.PC07578.A04,Zymo MagBead DNone Kit,Art.Col
165,Enterococcus,0.026409686,SC304093.PC07578.A04,Zymo MagBead DNone Kit,Art.Col
166,Escherichia-Shigella,0.122332592,SC304093.PC07578.A04,Zymo MagBead DNone Kit,Art.Col
167,Lachnoclostridium,NA,SC304093.PC07578.A04,Zymo MagBead DNone Kit,Art.Col
168,Parabacteroides,0.12273783,SC304093.PC07578.A04,Zymo MagBead DNone Kit,Art.Col
169,Propionibacterium,8.90E-05,SC304093.PC07578.A04,Zymo MagBead DNone Kit,Art.Col
170,Ralstonia,0.021606128,SC304093.PC07578.A04,Zymo MagBead DNone Kit,Art.Col
171,Fusobacterium,0,SC304093.PC07578.A04,Zymo MagBead DNone Kit,Art.Col
172,Subdoligranulum,0.009073584,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
173,Pyramidobacter,0.012227413,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
174,Bilophila,0.039574655,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
175,Alistipes,0.008474862,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
176,Coprobacillus,0.019150659,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
177,Lactobacillus,0.047366468,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
178,Paenibacillus,0.035763075,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
179,Pediococcus,0.044355995,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
180,Anaerostipes,0.016410032,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
181,Bacteroides,0.089766077,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
182,Bifidobacterium,0.016232945,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
183,Collinsella,0.001104684,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
184,Enterococcus,0.037972442,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
185,Escherichia-Shigella,0.110282833,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
186,Lachnoclostridium,NA,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
187,Parabacteroides,0.124078728,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
188,Propionibacterium,0.000185519,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
189,Ralstonia,0.039481895,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
190,Fusobacterium,0,SC304926.PC07578.E06,Zymo MagBead DNone Kit,Art.Col
191,Subdoligranulum,0.013118327,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
192,Pyramidobacter,0.003918733,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
193,Bilophila,0.037123189,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
194,Alistipes,0.006150525,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
195,Coprobacillus,0.023648613,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
196,Lactobacillus,0.013348841,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
197,Paenibacillus,0.034011253,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
198,Pediococcus,0.010352162,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
199,Anaerostipes,0.02276847,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
200,Bacteroides,0.100011526,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
201,Bifidobacterium,0.004442628,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
202,Collinsella,0.000806798,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
203,Enterococcus,0.009754922,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
204,Escherichia-Shigella,0.143798657,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
205,Lachnoclostridium,NA,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
206,Parabacteroides,0.173210113,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
207,Propionibacterium,0,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
208,Ralstonia,0.08295351,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
209,Fusobacterium,0,SC249409.PC04924.D05,MagAttract PowerMag Soil,Art.Col
210,Subdoligranulum,0.013335025,SC249413.PC04924.H05,MagAttract PowerMag Soil,Art.Col
211,Pyramidobacter,0.007855668,SC249413.PC04924.H05,MagAttract PowerMag Soil,Art.Col
212,Bilophila,0.044042497,SC249413.PC04924.H05,MagAttract PowerMag Soil,Art.Col
213,Alistipes,0.010543437,SC249413.PC04924.H05,MagAttract PowerMag Soil,Art.Col
214,Coprobacillus,0.029853845,SC249413.PC04924.H05,MagAttract PowerMag Soil,Art.Col
215,Lactobacillus,0.036463681,SC249413.PC04924.H05,MagAttract PowerMag Soil,Art.Col
216,Paenibacillus,0.044446239,SC249413.PC04924.H05,MagAttract PowerMag Soil,Art.Col
217,Pediococcus,0.008097913,SC249413.PC04924.H05,MagAttract PowerMag Soil,Art.Col
218,Anaerostipes,0.024593662,SC249413.PC04924.H05,MagAttract PowerMag Soil,Art.Col
