"","Genus","value","Type"
"422","Propionibacterium","-100","PC04924-MSA1003_Diff"
"423","Pseudomonas","-100","PC04924-MSA1003_Diff"
"424","Pyramidobacter","NA","PC04924-MSA1003_Diff"
"425","Ralstonia","NA","PC04924-MSA1003_Diff"
"426","Rhodobacter",NA,"PC04924-MSA1003_Diff"
"427","Saccharomyces","NA","PC04924-MSA1003_Diff"
"428","Salmonella","NA","PC04924-MSA1003_Diff"
"429","Streptococcus","-45.4694278160477","PC04924-MSA1003_Diff"
"430","Subdoligranulum","NA","PC04924-MSA1003_Diff"
"431","Abiotrophia","NA","PC04924-MSA1003_Diff"
"432","Acetanaerobacterium","NA","PC04924-MSA1003_Diff"
"433","Acidaminococcus","NA","PC04924-MSA1003_Diff"
"434","Actinobacillus","NA","PC04924-MSA1003_Diff"
"435","Adlercreutzia","NA","PC04924-MSA1003_Diff"
"436","Akkermansia","NA","PC04924-MSA1003_Diff"
"437","Alcaligenes","NA","PC04924-MSA1003_Diff"
"438","Alkanindiges","NA","PC04924-MSA1003_Diff"
"439","Alloprevotella","NA","PC04924-MSA1003_Diff"
"440","Anaerococcus","NA","PC04924-MSA1003_Diff"
"441","Anaerofilum","NA","PC04924-MSA1003_Diff"
"442","Anaerofustis","NA","PC04924-MSA1003_Diff"
"443","Anaeromyxobacter","NA","PC04924-MSA1003_Diff"
"444","Anaerosporobacter","NA","PC04924-MSA1003_Diff"
"445","Anaerotruncus","NA","PC04924-MSA1003_Diff"
"446","Arthrobacter","NA","PC04924-MSA1003_Diff"
"447","Atopobium","NA","PC04924-MSA1003_Diff"
"448","Azospirillum","NA","PC04924-MSA1003_Diff"
"449","Basidiomycota","NA","PC04924-MSA1003_Diff"
"450","Bergeyella","NA","PC04924-MSA1003_Diff"
"451","Blautia","NA","PC04924-MSA1003_Diff"
"452","Bradyrhizobium","NA","PC04924-MSA1003_Diff"
"453","Brevundimonas","NA","PC04924-MSA1003_Diff"
"454","Bryobacter","NA","PC04924-MSA1003_Diff"
"455","Butyricimonas","NA","PC04924-MSA1003_Diff"
"456","Campylobacter","NA","PC04924-MSA1003_Diff"
"457","Candidatus Planktophila","NA","PC04924-MSA1003_Diff"
"458","Capnocytophaga","NA","PC04924-MSA1003_Diff"
"459","Christensenella","NA","PC04924-MSA1003_Diff"
"460","Clostridium sensu stricto 1","NA","PC04924-MSA1003_Diff"
"461","Coprococcus","NA","PC04924-MSA1003_Diff"
"462","Corynebacterium","NA","PC04924-MSA1003_Diff"
"463","Desulfovibrio","NA","PC04924-MSA1003_Diff"
