,Genus,value,Type
207,Dialister,NA,PC04924-MSA1001_Diff
208,Dolosigranulum,NA,PC04924-MSA1001_Diff
209,Dorea,NA,PC04924-MSA1001_Diff
210,Eggerthella,NA,PC04924-MSA1001_Diff
211,Eggerthia,NA,PC04924-MSA1001_Diff
212,Enterorhabdus,NA,PC04924-MSA1001_Diff
213,Faecalibacterium,NA,PC04924-MSA1001_Diff
214,Finegoldia,NA,PC04924-MSA1001_Diff
215,Flavonifractor,NA,PC04924-MSA1001_Diff
216,Gemella,NA,PC04924-MSA1001_Diff
217,Gordonibacter,NA,PC04924-MSA1001_Diff
218,Granulicatella,NA,PC04924-MSA1001_Diff
219,Haemophilus,NA,PC04924-MSA1001_Diff
220,Holdemania,NA,PC04924-MSA1001_Diff
221,Incertae Sedis,NA,PC04924-MSA1001_Diff
222,Intestinimonas,NA,PC04924-MSA1001_Diff
223,Lachnoanaerobaculum,NA,PC04924-MSA1001_Diff
224,Lachnospira,NA,PC04924-MSA1001_Diff
225,Lactococcus,NA,PC04924-MSA1001_Diff
226,Lautropia,NA,PC04924-MSA1001_Diff
227,Leptotrichia,NA,PC04924-MSA1001_Diff
228,Leuconostoc,NA,PC04924-MSA1001_Diff
229,Lysobacter,NA,PC04924-MSA1001_Diff
230,Marvinbryantia,NA,PC04924-MSA1001_Diff
231,Massilia,NA,PC04924-MSA1001_Diff
232,Megasphaera,NA,PC04924-MSA1001_Diff
233,Methylobacterium,NA,PC04924-MSA1001_Diff
234,Mogibacterium,NA,PC04924-MSA1001_Diff
235,Moraxella,NA,PC04924-MSA1001_Diff
236,Mycobacterium,NA,PC04924-MSA1001_Diff
237,Nevskia,NA,PC04924-MSA1001_Diff
238,Nocardioides,NA,PC04924-MSA1001_Diff
239,Nosocomiicoccus,NA,PC04924-MSA1001_Diff
240,Odoribacter,NA,PC04924-MSA1001_Diff
241,Oribacterium,NA,PC04924-MSA1001_Diff
242,Oscillibacter,NA,PC04924-MSA1001_Diff
243,Oscillospira,NA,PC04924-MSA1001_Diff
244,Other,NA,PC04924-MSA1001_Diff
245,Papillibacter,NA,PC04924-MSA1001_Diff
246,Paracoccus,NA,PC04924-MSA1001_Diff
247,Parasutterella,NA,PC04924-MSA1001_Diff
248,Pedobacter,NA,PC04924-MSA1001_Diff
249,Peptoniphilus,NA,PC04924-MSA1001_Diff
250,Phascolarctobacterium,NA,PC04924-MSA1001_Diff
251,Phenylobacterium,NA,PC04924-MSA1001_Diff
252,Porphyromonas,NA,PC04924-MSA1001_Diff
253,Prevotella,NA,PC04924-MSA1001_Diff
254,Pseudobutyrivibrio,NA,PC04924-MSA1001_Diff
255,Rhizobium,NA,PC04924-MSA1001_Diff
256,Roseburia,NA,PC04924-MSA1001_Diff
257,Rothia,NA,PC04924-MSA1001_Diff
258,Rubellimicrobium,NA,PC04924-MSA1001_Diff
259,Ruminococcus,NA,PC04924-MSA1001_Diff
260,Salinarimonas,NA,PC04924-MSA1001_Diff
261,Scardovia,NA,PC04924-MSA1001_Diff
262,Sediminibacterium,NA,PC04924-MSA1001_Diff
263,Solobacterium,NA,PC04924-MSA1001_Diff
264,Sphingomonas,NA,PC04924-MSA1001_Diff
265,Stomatobaculum,NA,PC04924-MSA1001_Diff
266,Succiniclasticum,NA,PC04924-MSA1001_Diff
267,Sutterella,NA,PC04924-MSA1001_Diff
268,Synergistes,NA,PC04924-MSA1001_Diff
269,Thalassospira,NA,PC04924-MSA1001_Diff
