StudyID	SampleID	Plate	Row	Column	Type	Method	Kit	SeqName	Robots	Batch	Residual
SC253195.PC04925.E07	SC253195	PC04925	E	7	AC	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
SC253191.PC04925.A07	SC253191	PC04925	A	7	EB	Qiagen	Qiagen.QIAamp..Modified	0	Manual	1	Original
SC253202.PC04925.F08	SC253202	PC04925	F	8	EB	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
SC253200.PC04925.C08	SC253200	PC04925	C	8	RG	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
SC253193.PC04925.C07	SC253193	PC04925	C	7	RG	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
SC253186.PC04925.D06	SC253186	PC04925	D	6	RG	Qiagen	Qiagen.QIAamp..Modified	0	Manual	1	Original
SC253182.PC04925.H05	SC253182	PC04925	H	5	RG	Qiagen	Qiagen.QIAamp..Modified	0	Manual	1	Original
SC253183.PC04925.A06	SC253183	PC04925	A	6	Study	Qiagen	Qiagen.QIAamp..Modified	0	Manual	1	Original
SC253197.PC04925.G07	SC253197	PC04925	G	7	Study	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
SC253190.PC04925.H06	SC253190	PC04925	H	6	Study	Qiagen	Qiagen.QIAamp..Modified	0	Manual	1	Original
SC253199.PC04925.A08	SC253199	PC04925	A	8	Study	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
SC253197.PC04925.H07	SC253197	PC04925	H	7	Study	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
SC253199.PC04925.B08	SC253199	PC04925	B	8	Study	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
SC253201.PC04925.D08	SC253201	PC04925	D	8	Study	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
SC253201.PC04925.E08	SC253201	PC04925	E	8	Study	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
SC253199.PC04925.E11	SC253199	PC04925	E	11	Study	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
SC253190.PC04925.G06	SC253190	PC04925	G	6	Study	Qiagen	Qiagen.QIAamp..Modified	0	Manual	1	Original
SC253203.PC04925.G08	SC253203	PC04925	G	8	Study	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
SC253203.PC04925.H08	SC253203	PC04925	H	8	Study	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
SC253184.PC04925.B06	SC253184	PC04925	B	6	Study	Qiagen	Qiagen.QIAamp..Modified	0	Manual	1	Original
SC253188.PC04925.E06	SC253188	PC04925	E	6	Study	Qiagen	Qiagen.QIAamp..Modified	0	Manual	1	Original
SC253181.PC04925.G05	SC253181	PC04925	G	5	ZymoC	Qiagen	Qiagen.QIAamp..Modified	0	Manual	1	Original
SC253194.PC04925.D07	SC253194	PC04925	D	7	ZymoC	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
SC253189.PC04925.F06	SC253189	PC04925	F	6	ZymoC	Qiagen	Qiagen.QIAamp..Modified	0	Manual	1	Original
SC253196.PC04925.F07	SC253196	PC04925	F	7	ZymoC	Qiagen	Qiagen.QIAamp..Modified	0	Manual	2	Original
SC249383.PC04924.E02	SC249383	PC04924	E	2	AC	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	1	Original
SC249388.PC04924.A03	SC249388	PC04924	A	3	AC	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	1	Original
SC249400.PC04924.E04	SC249400	PC04924	E	4	AC	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	2	Original
SC249397.PC04924.B04	SC249397	PC04924	B	4	AC	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	2	Original
SC249387.PC04925.G01	SC249387	PC04925	G	1	EB	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	1	Original
SC261518.PC04925.C10	SC261518	PC04925	C	10	EB	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	1	Residual
SC261524.PC04925.H09	SC261524	PC04925	H	9	EB	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	1	Residual
